backgroundrank,bokehfactor,cameramodel,cameramodelndex,coherency,colorcontrastf,colorsimilarity,dominantcol1percent,dominantcol1value,dominantcol1l,dominantcol1a,dominantcol1b,dominantcol2percent,dominantcol2value,dominantcol2l,dominantcol2a,dominantcol2b,dominantcol3percent,dominantco3value,dominantcol3l,dominantcol3a,dominantcol3b,dominantcol4percent,dominantcol4value,dominantcol4l,dominantcol4a,dominantcol4b,dominantcol5percent,dominantcol5value,dominantcol5l,dominantcol5a,dominantcol5b,dominantcol6percent,dominantcol6value,dominantcol6l,dominantcol6a,dominantcol6b,dominantcol7percent,dominantcol7value,dominantcol7l,dominantcol7a,dominantcol7b,dominantcol8percent,dominantcol8value,dominantcol8l,dominantcol8a,dominantcol8b,strongcol1percent,strongcol1value,strongcol1l,strongcol1a,strongcol1b,strongcol2percent,strongcol2value,strongcol2l,strongcol2a,strongcol2b,contrastf,datetaken,directionsimilarity,dynrange,dynrangefactor,exposuref,facesrank,finalrank,focusf,fullframcolorsim,gridcolorsimilarity,height,horizonleft,intballancef,lifeid,objectsh,objectsw,objectsx,objectsy,objectsfactor,origheight,origwidth,partnerphotoid,photoindex,position,saturationf,sky,splitlevel,status,subclusterindex,texturescalesimilarity,url,userid,version,width,datenew,phash,closedeyesf,confidence,enginecode,faceexposuref,facefocusf,gender,genderconf,ffaceheight,kissf,leyeclosed,leyex,leyey,mouthp1x,mouthp1y,mouthp2x,mouthp2y,mouthp3x,mouthp3y,necscore,nosep1x,nosep1y,pitch,profilef,reyeclosed,reyex,reyey,facerank,recindex,recindexnew,roll,significance,smile,facewidth,facex,facey,yaw,faceid,isbaby,datesent,rnum,uploaddate
5.1,0,Canon_EOS_650D_0,1,0.74,\N,10,14,1B1C16,9.96,-1.92,3.99,13,7D8147,52.42,-10.74,30.83,12,ECEEEA,93.85,-1.37,1.69,11,867157,48.97,4.19,17.51,10,44412F,27.34,-2.15,11.47,7,BBA384,68.33,4.05,19.35,6,6B684E,43.62,-3.47,15.11,6,DDC3A6,80.27,4.76,17.95,0,A21419,34.5,54.46,37.04,1,711112,23.52,40.41,26.82,0.47,1420189023,81.3,-0.99,1,1.32,6.25,1.18,1,91.77,74.35,720,\N,0.95,70138577976,25.48;14.49;16.25,18.46;4.69;4.39,30.18;65.63;48.93,46.56;34.7;28.11,0.94,3456,5184,72863330908,72863330908,2,0.37,0,0,Success,1.42019E+12,87.52,https://im1.shutterfly.com/ng/services/mediarender/THISLIFE/021011995998/media/72863330908/medium/1491811658/enhance,21011995998,15,1080,1420189023,8D8F0DFD75654F8C,0.0;0.0;0.0,64;54;52,11;1;1,3.06;3.83;3.92,0.0;0.0;0.0,;false;false,62.0;0.0;0.0,4.46;4.86;4.79,0;0;0,0;0;0,41.39;52.47;75.72,44.67;23.96;25.07,41.39;52.54;75.65,46.72;26.19;27.27,40.71;52.54;75.65,46.72;26.19;27.27,40.03;52.54;75.65,46.72;26.19;27.27,0.0;0.0;0.0,40.76;53.31;74.89,46.04;25.1;26.19,0;0;0,0.0;-1.0;-1.0,0;0;0,40.03;52.47;75.72,44.67;23.96;25.07,7.49;4.83;4.92,0;0;0,0;0;0,0.0;0.0;0.0,1;1;1,46.67;0.0;0.0,2.98;3.24;3.2,39.22;50.27;74.69,43.37;22.61;23.73,0.0;-90.0;90.0,5e1ec54f-16e1-4468-87ed-700f02283ebb;179cf051-8f96-418c-882b-0be72c2bdeb5;07e7cd68-f9b5-422a-b265-30889947cbdf,false;false;false,22:57.9,1,4/10/2017
3.51,1,Canon_EOS_650D_0,1,0.81,0.54,10,23,74847B,53.65,-7.71,2.88,19,9DAE82,68.79,-13.8,20.67,13,4E5C6A,38.4,-1.87,-9.78,9,70815F,51.8,-12.79,16.43,7,4F5B43,37.02,-9.61,12.33,7,828FB0,59.46,2.89,-18.84,7,89AF6A,67.29,-25.34,31.27,4,E5C6C9,82.52,11.41,2.54,0,0,0,0,0,0,0,0,0,0,0.2,1437867465,48.5,-0.9,1,1.23,9.82,5.45,-1.72,88.66,84.42,720,\N,0.99,70138577976,54.9;41.29;49.63,12.6;13.77;8.79,35.74;21.68;12.6,45.24;18.45;50.51,1.5,3456,5184,72863328158,72863328158,2,0.28,0,1,Success,1.43787E+12,73.83,https://im1.shutterfly.com/ng/services/mediarender/THISLIFE/021011995998/media/72863328158/medium/1491810831/enhance,21011995998,15,1080,1437867465,8C5961AD2D7B5B6F,0,100,1111,3.98,0,,2,16.99,0,0,30.78,28.93,30.38,35.78,28.55,35.78,26.71,35.78,87.9,28.27,33.66,0,0,0,25.75,28.81,9.48,0,0,1.042,1,100,11.33,22.76,23.92,0,95211de3-51ee-450b-82a7-bda37de00003,TRUE,11:15.7,1,4/10/2017
5.34,0,Canon_EOS_650D_0,1,0.77,0.45,20,36,9297A1,62.35,0.24,-5.87,26,67403F,31.6,16.87,7.7,21,7C6B71,46.96,7.81,-0.87,10,212120,12.71,-0.24,0.67,5,A7CEE6,80.78,-7.45,-16.07,2,E7ECE7,92.9,-2.55,1.83,0,DDC49D,80.34,3.02,22.84,0,5400,30.26,-38.43,37.09,3,DB2728,47.83,66.5,45.71,1,AA2124,37.41,53.91,34.24,0.34,1452183360,92.16,-0.99,1,1.54,8.08,1.84,0.68,87.56,77.29,720,\N,0.82,70138577976,,,,,0,3456,5184,72863324696,72863324696,8,0.5,0,1,Success,1.45218E+12,92.15,https://im1.shutterfly.com/ng/services/mediarender/THISLIFE/021011995998/media/72863324696/medium/1491810299/enhance,21011995998,15,1080,1452183360,7AE5628CD6728502,0,100,1111,3.36,0,,4,4.89,0,0,40.69,38.72,40.57,41.37,39.96,41.37,39.35,41.37,94.5,39.96,40.49,0,0,0,39.29,39.05,8.86,0,0,-7.595,1,100,3.26,38.34,37.62,0,d61c7696-e600-44cf-ae28-321393d786d0,FALSE,00:45.5,1,4/10/2017
5.15,0,Canon_EOS_650D_0,1,0.83,0.29,31,30,CDBA78,75.73,-2.48,35.88,29,8A9854,60.34,-16.07,34,24,58421E,29.58,4.9,25.18,13,876623,45.32,6.15,41.25,3,F6FBF9,98.2,-1.99,0.37,0,5400,30.26,-38.43,37.09,0,0,0,0,0,0,0,0,0,0,1,993D01,38.04,36.12,48.67,4,BE5D03,50.43,34.72,58.58,0.34,1452184213,53.98,-0.99,1,1.29,8.73,2.28,0.41,66.23,62.6,1080,\N,1,70138577976,100.2,100.2,0,0,0,5184,3456,72863324772,72863324772,1,0.82,0,1,Success,1.45218E+12,83.65,https://im1.shutterfly.com/ng/services/mediarender/THISLIFE/021011995998/media/72863324772/medium/1491810327/enhance,21011995998,15,720,1452184213,63083E471E7A5A3C,0,100,1111,3.5,0,,8.24,4.07,0,0,69.17,40.65,69.03,42.64,67.95,42.64,66.87,42.64,82.1,67.61,42.02,0,0,0,66.39,40.99,9,0,0,-11.31,1,100,6.1,64.71,39.6,0,22ee2e32-4b32-4687-85a3-88a895814a0f,TRUE,00:45.7,1,4/10/2017
4.12,0,Canon_EOS_650D_0,1,0.83,\N,18,35,4F4C17,31.56,-6.33,30.8,21,B5B925,72.66,-17.95,67.62,21,2D2F0D,18.45,-6.63,20.77,20,7A8329,52.43,-15.8,45.48,2,A1A855,66.7,-14.76,41.67,1,D6D48D,83.6,-9.95,35.43,1,9E8A39,57.79,-2.35,44.96,0,D6CA49,80.19,-10.84,63.31,2,A1AC1D,67.4,-20.32,64.56,3,B8BF22,74.55,-19.76,70.13,0.38,1420192432,49.59,-0.98,1,2,0,1.25,-1.06,82.59,74.05,720,\N,0.99,70138577976,20.2;40.85,14.36;22.85,66.5;0.0,54.47;7.91,0.41,3456,5184,72863331495,72863331495,1,0.8,0,0,Success,1.42019E+12,64.43,https://im1.shutterfly.com/ng/services/mediarender/THISLIFE/021011995998/media/72863331495/medium/1491811836/enhance,21011995998,15,1080,1420192432,49F284C7B7CC582F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28:28.5,1,4/10/2017
4.94,0,Canon_EOS_650D_0,1,0.84,\N,20,38,272416,14.12,-1.36,9.88,20,0A0B07,2.88,-0.83,1.43,8,51583C,36.09,-8.19,15.36,7,483222,22.91,7.66,14.09,5,5E6B5A,43.7,-8.48,7.89,4,819383,59.13,-9.66,6.3,3,7A6746,44.63,2.6,21.43,3,C4C8BF,80.07,-3.01,4.01,0,965524,42.93,22.91,38.94,0,FBDF40,88.76,-6.35,76.12,0.71,1452182752,88.68,-0.99,1,1.49,0,1.2,0.46,76.28,79.86,720,\N,1,70138577976,40.85;4.83;5.27,24.9;8.5;6.45,34.28;30.47;32.52,47.0;25.04;34.7,1.5,3456,5184,72863324538,72863324538,6,0.29,0,0,Success,1.45218E+12,88.71,https://im1.shutterfly.com/ng/services/mediarender/THISLIFE/021011995998/media/72863324538/medium/1491810252/enhance,21011995998,15,1080,1452182752,935F6C6F9B67E667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00:45.3,1,4/10/2017
0.52,0,Canon_EOS_650D_0,1,0.73,\N,50,13,C3D9F0,85.77,-2.59,-13.72,12,467278,45.21,-13.47,-8.11,11,60911,2.48,0.53,-3.86,9,1B2444,15.02,7.18,-21.45,9,6998A1,59.92,-13.47,-9.78,8,8FADC9,69.43,-3.76,-17.61,7,557396,47.49,-1.18,-22.4,6,2B4D52,30.47,-10.83,-6.84,0,0,0,0,0,0,0,0,0,0,0,1422014687,50,-0.99,1,1.83,4.81,2.54,-3.72,50,50,720,\N,1,70138577976,,,,,0,3456,5184,72863332523,72863332523,1,0.41,0,0,Success,1.42201E+12,50,https://im1.shutterfly.com/ng/services/mediarender/THISLIFE/021011995998/media/72863332523/medium/1491812238/enhance,21011995998,15,1080,1422014687,41C5959675A4652A,0,100,1111,2.68,-1.43,,21,16.62,0,0,56.34,26.99,54.79,36.09,53.4,36.09,52.02,36.09,81,53.85,32.33,0,0,0,51.83,26.58,4.48,0,0,3.504,1,3.333,11.08,48.48,22.51,0,d98e7101-78f2-47bd-9088-004fa3573e6e,FALSE,33:30.3,1,4/10/2017
4.07,0,Canon_EOS_650D_0,1,0.84,\N,50,39,3C3E2B,25.5,-4.66,11.44,12,6A6E54,45.44,-6.41,14.03,10,ADB060,70.02,-12.84,40.41,9,D2C1A4,78.77,1.38,16.78,6,E8E9E1,92.07,-1.74,3.75,5,AD9B7C,64.79,1.74,18.69,4,827159,48.61,2.76,15.78,4,B4AD6C,69.95,-7.12,34.28,0,0,0,0,0,0,0,0,0,0,0.37,1420189014,50,-0.97,1,1.04,0,1.04,1,50,50,720,\N,0.25,70138577976,,,,,0,3456,5184,72863330798,72863330798,1,0.41,0,0,Success,1.42019E+12,50,https://im1.shutterfly.com/ng/services/mediarender/THISLIFE/021011995998/media/72863330798/medium/1491811617/enhance,21011995998,15,1080,1420189014,BD624618F1310F0C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22:57.1,1,4/10/2017
4.85,0,Canon_EOS_650D_0,1,0.73,\N,32,31,C3C2C0,78.46,-0.01,1.12,17,A0A09C,65.76,-0.75,2.07,15,E6E6E3,91.22,-0.53,1.45,12,767773,49.84,-1.17,2.06,7,474B44,31.32,-3.16,3.61,5,272A23,16.55,-2.99,4.12,3,5A6742,41.64,-12,19.28,3,BAAE92,71.41,-0.29,15.94,0,3B69B7,44.87,10.21,-45.96,0,0,0,0,0,0.32,1418390640,69.94,-0.99,1,1.48,0,1.26,1,98.34,81.63,720,\N,0.97,70138577976,65.89;22.84;7.47;6.15,28.13;4.98;14.36;15.53,46.0;27.25;24.9;27.54,14.06;31.63;53.59;75.11,1.5,3456,5184,72863330626,72863330626,1,0.07,0,1,Success,1.41839E+12,95.55,https://im1.shutterfly.com/ng/services/mediarender/THISLIFE/021011995998/media/72863330626/medium/1491811553/enhance,21011995998,15,1080,1418390640,6BE5923793C33603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22:00.0,1,4/10/2017
3.13,0,Canon_PowerShot_SX210_IS_0,1,0.74,\N,18,22,838381,54.7,-0.39,1.07,16,41252B,18.46,14.22,1.68,15,E1E3E5,90.14,-0.3,-1.22,13,2E2C2C,18.21,0.9,0.32,9,5E5C59,39.17,0.18,2,5,5C333A,26.59,19.44,3.65,5,A5A2A0,66.81,0.71,1.41,4,654A4D,34.4,11.97,2.7,1,892122,30.69,43.5,26.16,0,A52D2A,37.92,48.6,30.99,0.48,1368001054,68.81,-0.96,1,0.55,0.52,0.44,0.68,90.47,84.81,1278,\N,0.36,70138577976,35.74;8.79;5.27,42.63;25.48;7.28,44.19;60.83;74.87,44.53;85.25;79.39,1.5,4320,2432,72863323888,72863323888,3,0.06,0,1,Success,1.368E+12,91.31,https://im1.shutterfly.com/ng/services/mediarender/THISLIFE/021011995998/media/72863323888/medium/1491809987/enhance,21011995998,15,720,1368001054,49ECC8663003F843,0,100,1101,-0.44,-0.4,,55,2.33,0,0,73.95,77.58,73.95,78.55,72.92,78.59,72.23,78.55,54.6,73.13,78.25,0,0,0,72.23,77.58,2.66,0,0,0,1,0,4.13,71.02,76.9,0,c000e242-a615-4f70-995c-fe1a59741eb9,FALSE,55:12.4,1,4/10/2017
